API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec  3 16:29:08 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2035-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464748.500000000, A.D. 2036-Feb-25 00:00:00.0000, -1.349850663969395E+08,  6.043496927916693E+07,  6.709036270342767E+03, -1.285420126770392E+01, -2.722341762125597E+01,  3.100639252050286E-03,
2464749.500000000, A.D. 2036-Feb-26 00:00:00.0000, -1.360749819368697E+08,  5.807352184089887E+07,  6.979503627460450E+03, -1.237467386557534E+01, -2.743823947443707E+01,  3.151775951931057E-03,
2464750.500000000, A.D. 2036-Feb-27 00:00:00.0000, -1.371233007683677E+08,  5.569389885865182E+07,  7.252175758261234E+03, -1.189135292345473E+01, -2.764412559995903E+01,  3.151323441635157E-03,
2464751.500000000, A.D. 2036-Feb-28 00:00:00.0000, -1.381297053690557E+08,  5.329687793690231E+07,  7.522530233744532E+03, -1.140447869658433E+01, -2.784094982170257E+01,  3.098090558736999E-03,
2464752.500000000, A.D. 2036-Feb-29 00:00:00.0000, -1.390938998004258E+08,  5.088324686221856E+07,  7.786029105503112E+03, -1.091431035857773E+01, -2.802860353741074E+01,  2.992969020775504E-03,
2464753.500000000, A.D. 2036-Mar-01 00:00:00.0000, -1.400156112635514E+08,  4.845380184737185E+07,  8.038312865566462E+03, -1.042112386392394E+01, -2.820700118578762E+01,  2.839238524124710E-03,
2464754.500000000, A.D. 2036-Mar-02 00:00:00.0000, -1.408945913933848E+08,  4.600934532054204E+07,  8.275415353905410E+03, -9.925208092922169E+00, -2.837608521187803E+01,  2.642742149591371E-03,
2464755.500000000, A.D. 2036-Mar-03 00:00:00.0000, -1.417306171608876E+08,  4.355068332252874E+07,  8.493987839467824E+03, -9.426859703536280E+00, -2.853583014742000E+01,  2.411925084469857E-03,
2464756.500000000, A.D. 2036-Mar-04 00:00:00.0000, -1.425234912876041E+08,  4.107862259005634E+07,  8.691521204680204E+03, -8.926377020685974E+00, -2.868624582678566E+01,  2.157755765523461E-03,
2464757.500000000, A.D. 2036-Mar-05 00:00:00.0000, -1.432730420889797E+08,  3.859396739112581E+07,  8.866556729538366E+03, -8.424052858536037E+00, -2.882737993451449E+01,  1.893539341066841E-03,
2464758.500000000, A.D. 2036-Mar-06 00:00:00.0000, -1.439791226297585E+08,  3.609751617120942E+07,  9.018874838324264E+03, -7.920165631738099E+00, -2.895931975578272E+01,  1.634580633433913E-03,
2464759.500000000, A.D. 2036-Mar-07 00:00:00.0000, -1.446416090063371E+08,  3.359005811557409E+07,  9.149644122717902E+03, -7.414967918320758E+00, -2.908219209525361E+01,  1.397575032708431E-03,
2464760.500000000, A.D. 2036-Mar-08 00:00:00.0000, -1.452603975205012E+08,  3.107236987421888E+07,  9.261499670201913E+03, -6.908672332846833E+00, -2.919615913234237E+01,  1.199551435922430E-03,
2464761.500000000, A.D. 2036-Mar-09 00:00:00.0000, -1.458354005708298E+08,  2.854521292592524E+07,  9.358505594048649E+03, -6.401436483286183E+00, -2.930140730206854E+01,  1.056240222629512E-03,
2464762.500000000, A.D. 2036-Mar-10 00:00:00.0000, -1.463665413562983E+08,  2.600933228106128E+07,  9.445953862706199E+03, -5.893351475031944E+00, -2.939812733095657E+01,  9.799590374530709E-04,
2464763.500000000, A.D. 2036-Mar-11 00:00:00.0000, -1.468537479639290E+08,  2.346545724958042E+07,  9.529974559167400E+03, -5.384440191940967E+00, -2.948648707721710E+01,  9.774683382310911E-04,
2464764.500000000, A.D. 2036-Mar-12 00:00:00.0000, -1.472969479153937E+08,  2.091430464647586E+07,  9.616985934686847E+03, -4.874670064379300E+00, -2.956660372632559E+01,  1.048540176741497E-03,
